Commune,Code Postal,Code commune
Allemans,24600,24007
Bertric-Burée,24320,24038
Bourg-des-Maisons,24320,24057
Bourg-du-Bost,24600,24058
Bouteilles St-Sébastien,24320,24062
Celles,24600,24090
Cercles - La Tour Blanche,24320,24554
Champagne et Fontaine,24320,24097
Chapdeuil,24320,24105
Chassaignes,24600,24114
Cherval,24320,24119
Combéranche-Epeluche,24600,24128
Coutures,24320,24141
Creyssac,24350,24144
Douchapt,24350,24154
Goûts-Rossignol,24320,24199
Grand-Brassac,24350,24200
La Chapelle Grésignac,24320,24109
La Chapelle Montabourlet,24320,24110
La Jemaye - Ponteyraud,24410,24216
Lisle,24350,24243
Lusignac,24320,24247
Montagrier,24350,24286
Nanteuil Auriac de Bourzac,24320,24303
Paussac et St-Vivien,24310,24319
Petit-Bersac,24600,24323
Ribérac,24600,24352
St-André de Double,24190,24367
St-Just,24320,24434
St-Martial Viveyrol,24320,24452
St-Martin de Ribérac,24600,24455
St-Meard de Drône,24600,24460
St-Pardoux de Drône,24600,24477
St-Paul Lizonne,24320,24482
St-Sulpice de Roumagnac,24600,24504
St-Victor,24350,24508
St-Vincent de Connezac,24190,24509
Segonzac,24600,24529
Siorac de Ribérac,24600,24537
Tocane St-Apre,24350,24553
Vanxains,24600,24564
Vendoire,24320,24569
Verteillac,24320,24573
Villetoureix,24600,24586